cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002513,1.0,157.85,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1886,1403,4,16,0.993956,0.997157,0.991588,0.988724,0.997157,0.992923,0.997884,0.991588,0.994726,0.993304,0.994372,0.993824,0.994372,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_1_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_1_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.001851,1.0,137.04,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1880,1435,8,19,0.991921,0.994456,0.989995,0.986933,0.994456,0.99068,0.995763,0.989995,0.99287,0.991348,0.992225,0.991775,0.992225,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_2_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_2_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002857,1.0,95.02,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1931,1422,7,13,0.994071,0.995101,0.993313,0.990941,0.995101,0.993017,0.996388,0.993313,0.994848,0.993664,0.994207,0.993932,0.994207,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_3_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_3_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.003382,1.0,116.33,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1883,1433,3,39,0.987493,0.997911,0.979709,0.973505,0.997911,0.985557,0.998409,0.979709,0.988971,0.985957,0.98881,0.987264,0.98881,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_4_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_4_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.019454,0.994908,120.44,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1899,1428,5,2,0.9979,0.996511,0.998948,0.998601,0.996511,0.997555,0.997374,0.998948,0.99816,0.997988,0.997729,0.997858,0.997729,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_5_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_5_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.011906,0.995918,103.89,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1897,1402,5,5,0.996978,0.996446,0.997371,0.996446,0.996446,0.996446,0.997371,0.997371,0.997371,0.996909,0.996909,0.996909,0.996909,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_1_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_1_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.004169,1.0,103.93,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1885,1436,7,14,0.993716,0.995149,0.992628,0.990345,0.995149,0.992741,0.9963,0.992628,0.994461,0.993323,0.993888,0.993601,0.993888,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_2_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_2_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002926,1.0,96.25,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1939,1413,16,5,0.993774,0.988803,0.997428,0.996474,0.988803,0.992624,0.991816,0.997428,0.994614,0.994145,0.993116,0.993619,0.993116,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_3_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_3_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002263,1.0,100.06,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1895,1436,0,27,0.991959,1.0,0.985952,0.981545,1.0,0.990686,1.0,0.985952,0.992926,0.990772,0.992976,0.991806,0.992976,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_4_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_4_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002085,1.0,104.44,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1897,1425,8,4,0.996401,0.994417,0.997896,0.997201,0.994417,0.995807,0.995801,0.997896,0.996847,0.996501,0.996157,0.996327,0.996157,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_5_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_5_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.019404,0.994898,103.93,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1893,1403,4,9,0.996071,0.997157,0.995268,0.993626,0.997157,0.995388,0.997891,0.995268,0.996578,0.995759,0.996213,0.995983,0.996213,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_1_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_1_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.001982,1.0,104.55,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1893,1435,8,6,0.995811,0.994456,0.99684,0.995836,0.994456,0.995146,0.995792,0.99684,0.996316,0.995814,0.995648,0.995731,0.995648,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_2_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_2_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002344,1.0,95.84,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1944,1412,17,0,0.99496,0.988104,1.0,1.0,0.988104,0.994016,0.991331,1.0,0.995647,0.995665,0.994052,0.994831,0.994052,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_3_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_3_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.016897,0.995745,100.01,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1890,1429,7,32,0.988386,0.995125,0.983351,0.978097,0.995125,0.986538,0.99631,0.983351,0.989788,0.987204,0.989238,0.988163,0.989238,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_4_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_4_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.01066,0.996945,104.78,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1897,1428,5,4,0.997301,0.996511,0.997896,0.997207,0.996511,0.996859,0.997371,0.997896,0.997633,0.997289,0.997203,0.997246,0.997203,checkpoints/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_5_final.pth,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_5_predictions.csv,results/45_efficientnetv2s_diffusion_gan_dataset2/seed_2028_round_5_training_history.csv
